open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
1771718400000,67975.93,68060.4,67809.78,67946.0,294.60551,1771721999999,20008866.2211614,83722,151.69981,10303781.4453678
1771722000000,67946.0,68171.46,67945.99,68159.31,265.09117,1771725599999,18046382.7046557,55953,148.99536,10142053.8426252
1771725600000,68159.32,68222.16,67872.76,67909.68,289.41881,1771729199999,19691797.4242293,62081,135.74391,9238394.7932357
1771729200000,67909.67,68062.03,67824.9,68041.43,265.36653,1771732799999,18026545.0148039,92264,114.08342,7751762.1295708
1771732800000,68041.42,68086.0,67966.52,67983.5,199.56269,1771736399999,13573046.7736926,70295,95.63377,6504495.2567398
1771736400000,67983.5,68011.75,67881.81,67977.52,154.76424,1771739999999,10512242.0996805,40925,68.67781,4664537.5358421
1771740000000,67977.52,68178.79,67972.89,68038.13,303.09242,1771743599999,20636085.8281022,64813,159.88991,10886519.8123905
1771743600000,68038.14,68095.57,67990.5,68005.3,266.37265,1771747199999,18121867.3910548,58798,74.08616,5039979.8200892
1771747200000,68005.3,68019.46,67912.02,67950.1,183.6609,1771750799999,12483078.7767714,58833,57.59006,3914364.6523303
1771750800000,67950.11,68101.46,67948.74,68053.32,173.06503,1771754399999,11773696.2564003,60398,68.78067,4679124.6918153
1771754400000,68053.33,68153.2,68012.78,68129.56,204.92643,1771757999999,13953874.7290934,44822,97.76464,6657559.8393993
1771758000000,68129.57,68245.0,68129.56,68219.97,171.48901,1771761599999,11696675.6991039,42390,97.08597,6621413.9479364
1771761600000,68219.97,68232.4,67871.59,67928.22,372.42816,1771765199999,25323319.842037,122560,133.86033,9102353.6167801
1771765200000,67928.23,68040.8,67571.08,67652.38,679.59468,1771768799999,46035187.8809877,168088,294.76008,19965760.8119693
1771768800000,67652.38,67682.47,67353.75,67443.89,825.57077,1771772399999,55736347.1554749,188976,327.91328,22140869.1829276
1771772400000,67443.89,67813.2,67303.5,67684.14,653.6397,1771775999999,44164911.328901,170776,289.27921,19546425.5301584
1771776000000,67684.15,67718.13,67513.83,67632.76,299.2772,1771779599999,20231482.93391,92266,167.63787,11331425.5784853
1771779600000,67632.76,67635.22,67190.0,67384.49,691.10182,1771783199999,46546501.6392526,140621,315.39571,21244769.4819188
1771783200000,67384.48,67461.41,67313.54,67422.62,362.52705,1771786799999,24429993.5485048,90343,210.98643,14218152.7838445
1771786800000,67422.63,67488.7,67403.37,67428.32,222.75597,1771790399999,15024842.134125,62926,146.17007,9859022.9482042
1771790400000,67428.32,67491.96,67350.0,67401.74,272.50364,1771793999999,18372080.5854296,73585,166.34347,11214901.0573605
1771794000000,67401.74,67643.94,67401.74,67612.66,235.86316,1771797599999,15926684.137895,64457,163.71707,11054416.3677196
1771797600000,67612.66,67751.44,67485.34,67666.16,369.66378,1771801199999,24995313.8876005,99426,217.34086,14694897.7367339
1771801200000,67666.16,67730.98,67469.58,67643.4,418.79352,1771804799999,28302511.5845461,151582,270.857,18304110.7474937
1771804800000,67643.39,67684.86,66715.01,66740.47,765.22691,1771808399999,51413335.5848734,210130,365.47371,24570719.2773036
1771808400000,66740.47,66740.47,64290.71,64427.65,7324.06208,1771811999999,477928086.1141628,1305590,3683.80693,240422243.2795412
1771812000000,64427.64,64916.85,64325.98,64783.56,1843.2569,1771815599999,119247277.9594002,505007,1018.47651,65891228.4641627
1771815600000,64783.56,65079.79,64700.0,64934.17,1090.11911,1771819199999,70727856.9636311,227389,654.57612,42469530.0941015
1771819200000,64934.18,65040.29,64685.64,64808.31,792.86138,1771822799999,51413999.4330287,149398,410.1901,26604499.4800909
1771822800000,64808.31,65294.8,64796.85,65070.9,1215.1894,1771826399999,79037628.8856667,195387,650.36181,42317184.7084263
1771826400000,65070.9,65802.09,65033.9,65757.32,1085.08146,1771829999999,71028640.5901827,233923,576.23924,37716964.0166815
1771830000000,65757.33,66015.22,65641.55,65958.94,1026.69503,1771833599999,67606931.3646946,209175,611.05157,40238560.9365221
1771833600000,65958.94,65958.94,65565.78,65676.44,895.54696,1771837199999,58860907.2588128,178507,352.45228,23162415.7538242
1771837200000,65676.44,66456.5,65672.76,66404.91,974.96031,1771840799999,64432239.7226789,255269,513.34958,33920673.872897
1771840800000,66404.92,66600.0,66220.0,66319.69,789.042,1771844399999,52379998.0261662,210955,298.30583,19803012.6742624
1771844400000,66319.69,66487.37,66114.22,66207.23,534.45165,1771847999999,35415988.56663,149814,210.04652,13920257.3322424
1771848000000,66207.23,66511.51,65886.51,66280.4,754.07687,1771851599999,49921026.7866198,225640,358.19062,23715612.1311291
1771851600000,66280.4,66430.52,66103.35,66132.66,807.41354,1771855199999,53490654.0853805,212415,308.18361,20418866.9076792
1771855200000,66132.65,66264.95,65529.73,65923.53,971.74614,1771858799999,64092142.7637402,520298,424.68303,28011164.1827241
1771858800000,65923.52,66250.0,65579.53,65660.1,1263.10354,1771862399999,83174956.870959,516710,698.65567,46010258.5486569
1771862400000,65660.1,65724.28,65178.83,65364.65,1502.46383,1771865999999,98343162.1901302,520635,752.99963,49283553.3951786
1771866000000,65364.66,65451.01,64152.04,64813.26,2524.7894,1771869599999,163403118.873961,627848,1262.74626,81680772.2596466
1771869600000,64813.27,65194.51,64586.0,64635.49,994.68933,1771873199999,64482739.0033994,420741,561.7542,36425295.7302302
1771873200000,64635.49,64855.18,64048.71,64295.1,2158.00321,1771876799999,138806257.886339,419764,716.24097,46108329.0782117
1771876800000,64295.11,64487.94,63888.79,64473.14,1313.21455,1771880399999,84224279.2922649,408923,650.35046,41717684.5120716
1771880400000,64473.14,64783.54,64459.44,64580.66,593.24685,1771883999999,38323813.6597478,204519,295.1764,19067357.3144562
1771884000000,64580.66,65035.98,64555.59,64725.56,1451.85665,1771887599999,94209247.0817206,217700,819.91049,53203870.2390237
1771887600000,64725.56,64900.63,64538.9,64656.02,404.81213,1771891199999,26194367.1573261,142958,195.41704,12648805.8698988
1771891200000,64656.01,65026.75,64656.01,64941.43,437.59997,1771894799999,28394295.4237613,177061,259.95852,16866530.8971787
1771894800000,64941.42,64941.42,63433.84,64160.27,2402.75927,1771898399999,154070890.4248766,718761,1068.01848,68483245.2595411
1771898400000,64160.26,64500.0,64000.0,64109.81,599.63527,1771901999999,38496872.2910538,344368,303.3393,19476990.1797251
1771902000000,64109.8,64109.8,63342.9,63595.51,1312.76931,1771905599999,83620007.2410343,507336,540.37781,34422123.671325
